100,1.489e-06
20098,2.852e-06
40096,3.299e-06
60094,3.872e-06
80092,3.8e-06
100090,5.517e-06
120088,4.57e-06
140086,4.788e-06
160084,5.537e-06
180082,4.986e-06
200080,5.152e-06
220078,5.038e-06
240076,6.287e-06
260074,6.464e-06
280072,5.475e-06
300070,6.932e-06
320068,7.234e-06
340066,7.338e-06
360064,7.078e-06
380062,7.661e-06
400060,7.109e-06
420058,7.224e-06
440056,7.556e-06
460054,8.098e-06
480052,7.775e-06
500050,8.139e-06
520048,7.65e-06
540046,8.119e-06
560044,1.0242e-05
580042,7.755e-06
600040,8.306e-06
620038,9.118e-06
640036,1.0076e-05
660034,8.15e-06
680032,8.201e-06
700030,8.057e-06
720028,8.556e-06
740026,8.15e-06
760024,1.1002e-05
780022,9.847e-06
800020,1.0856e-05
820018,1.1907e-05
840016,1.2459e-05
860014,9.898e-06
880012,1.1189e-05
900010,1.4635e-05
920008,1.1178e-05
940006,1.1335e-05
960004,1.2584e-05
980002,1.1855e-05
