100,2.18e-07
20098,2.28e-07
40096,2.39e-07
60094,2.39e-07
80092,2.71e-07
100090,2.6e-07
120088,2.7e-07
140086,2.6e-07
160084,2.39e-07
180082,2.5e-07
200080,3.02e-07
220078,2.39e-07
240076,2.91e-07
260074,2.18e-07
280072,2.28e-07
300070,2.29e-07
320068,2.39e-07
340066,2.7e-07
360064,2.7e-07
380062,2.4e-07
400060,2.5e-07
420058,2.6e-07
440056,2.6e-07
460054,2.5e-07
480052,2.39e-07
500050,3.01e-07
520048,2.6e-07
540046,2.4e-07
560044,2.6e-07
580042,2.5e-07
600040,2.7e-07
620038,2.6e-07
640036,2.5e-07
660034,2.5e-07
680032,2.81e-07
700030,2.6e-07
720028,2.5e-07
740026,3.02e-07
760024,3.44e-07
780022,3.75e-07
800020,2.81e-07
820018,2.7e-07
840016,2.5e-07
860014,3.01e-07
880012,2.81e-07
900010,2.6e-07
920008,2.7e-07
940006,2.39e-07
960004,2.39e-07
980002,2.4e-07
